URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/150955746/,1,8900000,39.0,19.1,8.0,11.829,4,1.0,0.0,1.0,1,13,17.0,0
http://www.cian.ru/sale/flat/150197725/,1,4278000,27.6,14.0,5.6,12.643,7,0.0,1.0,None,0,15,19.0,1
http://www.cian.ru/sale/flat/148939063/,1,4013900,35.3,15.0,12.0,24.687,15,0.0,0.0,None,0,3,17.0,1
http://www.cian.ru/sale/flat/150460380/,4,29800000,228.0,125.0,21.8,13.669,None,None,None,None,1,15,16.0,0
http://www.cian.ru/sale/flat/149550321/,2,5800000,42.0,27.0,6.0,9.443,10,0,0,1,1,2,5.0,0
http://www.cian.ru/sale/flat/149846199/,2,8990000,46.0,28.0,6.0,7.818,11,1,1,0,1,5,5.0,0
http://www.cian.ru/sale/flat/36303905/,1,5090000,32.0,17.6,6.0,14.816,26,0,0,1,1,5,5.0,0
http://www.cian.ru/sale/flat/149696544/,2,13950000,72.5,37.8,11.0,24.646,None,None,1,1,1,3,5.0,0
http://www.cian.ru/sale/flat/150206839/,1,8000000,37.0,20.0,9.0,5.338,8,0,1,1,1,2,14.0,0
http://www.cian.ru/sale/flat/148879179/,2,6650000,40.0,24.0,6.0,15.019,5,1,0,None,1,10,12.0,0
http://www.cian.ru/sale/flat/148511170/,1,8443500,43.3,None,None,8.509,13,1,None,None,0,12,None,1
http://www.cian.ru/sale/flat/148919974/,1,6100000,36.0,20.0,10.0,18.474,12,1,None,1,1,11,12,0
http://www.cian.ru/sale/flat/150977789/,2,7500000,36.9,22.9,7.0,9.948,5,0,0,0,1,7,9,0
http://www.cian.ru/sale/flat/150597963/,2,10800000,54.0,33.0,9.0,14.645,12,1,0,1,1,14,16,0
http://www.cian.ru/sale/flat/150410430/,2,6220000,34.0,20.0,7.0,13.530,1,1,1,0,1,3,9,0
http://www.cian.ru/sale/flat/149776160/,1,5500000,38.0,19.0,8.0,16.330,15,0,0,0,1,7,17,0
http://www.cian.ru/sale/flat/148797290/,2,6300000,42.5,28.0,5.8,12.247,10,0,1,None,1,4,5,0
http://www.cian.ru/sale/flat/150638461/,1,5800000,32.0,20.0,5.0,11.937,10,0,0,None,0,4,5,0
http://www.cian.ru/sale/flat/150713674/,2,7400000,46.7,30.5,6.3,9.924,10,1,0,1,0,3,9,0
http://www.cian.ru/sale/flat/149595676/,2,5700000,45.0,36.0,6.0,13.572,None,None,None,0,1,2,5,0
http://www.cian.ru/sale/flat/148423000/,2,6700000,46.0,28.5,6.2,15.380,5,1,0,1,0,9,9,0
http://www.cian.ru/sale/flat/151028585/,3,14500000,75.0,42.0,10.0,12.236,10,1,0,None,1,10,17,0
http://www.cian.ru/sale/flat/150628645/,2,9990000,59.0,33.0,11.0,14.083,None,None,0,1,1,14,17,0
http://www.cian.ru/sale/flat/150768370/,1,6688200,43.0,19.0,10.0,13.451,4,1,0,None,1,2,18,1
http://www.cian.ru/sale/flat/150090371/,1,6000000,36.3,21.3,None,14.062,15,0,1,0,0,6,7,0
http://www.cian.ru/sale/flat/148329476/,1,4062000,36.7,16.2,7.4,24.930,20,0,0,None,1,6,17,1
http://www.cian.ru/sale/flat/149701531/,1,6950000,30.0,18.0,6.0,7.959,3,1,1,0,1,2,5,0
http://www.cian.ru/sale/flat/147000280/,1,5561814,29.5,20.0,None,11.050,10,1,1,None,0,10,18,1
http://www.cian.ru/sale/flat/149686106/,1,6233730,36.0,11.3,17.3,11.050,10,1,1,None,0,7,18,1
http://www.cian.ru/sale/flat/150402315/,1,5000000,28.8,16.0,5.5,13.162,8,1,1,1,1,5,5,0
http://www.cian.ru/sale/flat/151021968/,1,11928000,42.6,15.4,14.6,3.170,10,1,1,None,1,7,19,1
http://www.cian.ru/sale/flat/150977743/,1,6020000,38.1,30.5,18.3,14.321,10,0,1,None,0,3,23,1
http://www.cian.ru/sale/flat/150494618/,1,4027770,37.7,37.7,None,26.319,15,1,1,None,0,14,16,1
http://www.cian.ru/sale/flat/149835768/,1,5434840,33.2,None,None,11.349,None,None,None,None,0,14,18,1
http://www.cian.ru/sale/flat/149455236/,1,9500000,39.0,20.0,9.0,7.138,15,1,0,0,1,7,17,0
http://www.cian.ru/sale/flat/13594780/,1,6750000,33.0,18.2,6.6,15.284,4,1,0,1,0,4,9,0
http://www.cian.ru/sale/flat/148372656/,2,7100000,45.0,29.0,6.0,18.408,12,1,0,1,0,8,9,0
http://www.cian.ru/sale/flat/46981689/,1,6550000,40.0,20.0,11.0,10.357,None,None,0,0,1,21,22,0
http://www.cian.ru/sale/flat/149284594/,1,6700000,30.0,17.8,None,6.734,10,0,1,1,1,5,9,0
http://www.cian.ru/sale/flat/149349920/,2,7350000,45.0,28.1,6.0,14.549,12,1,0,1,1,4,12,0
http://www.cian.ru/sale/flat/149416889/,2,5500000,45.0,28.0,7.0,13.990,15,1,1,None,1,5,5,0
http://www.cian.ru/sale/flat/147941806/,2,5800000,46.0,32.0,7.0,10.261,15,1,1,1,0,1,8,0
http://www.cian.ru/sale/flat/150484393/,3,14750000,78.0,48.0,10.0,11.982,10,1,0,1,1,14,16,0
http://www.cian.ru/sale/flat/148719879/,2,12800000,46.0,27.0,6.0,5.888,10,1,0,1,1,3,9,0
http://www.cian.ru/sale/flat/150768472/,2,6500000,40.0,28.0,5.0,7.867,11,0,0,1,0,2,5,0
http://www.cian.ru/sale/flat/150273581/,3,31226645,123.0,64.0,16.0,4.547,8,1,1,None,1,6,18,1
http://www.cian.ru/sale/flat/150885008/,1,6000000,34.0,19.0,10.0,11.172,10,1,0,None,0,1,12,0
http://www.cian.ru/sale/flat/150882003/,3,11700000,76.0,45.0,11.0,13.506,8,0,None,1,1,18,22,0
http://www.cian.ru/sale/flat/140980631/,1,6500000,36.8,20.5,6.0,7.493,11,1,1,1,0,2,5,0
http://www.cian.ru/sale/flat/137249950/,2,8500000,43.5,28.7,6.0,4.906,8,1,None,1,1,3,5,0
http://www.cian.ru/sale/flat/150460400/,1,5900000,38.0,19.5,10.0,16.134,None,None,None,None,1,8,16,0
http://www.cian.ru/sale/flat/150278439/,1,4450000,31.7,21.0,6.0,14.592,14,1,0,1,0,1,9,0
http://www.cian.ru/sale/flat/150437953/,3,11170000,77.4,45.0,10.0,13.408,None,None,0,1,1,16,22,0
http://www.cian.ru/sale/flat/147764241/,2,5200000,42.0,27.0,6.0,9.785,15,0,1,0,1,3,5,0
http://www.cian.ru/sale/flat/50631836/,2,8022388,44.5,38.9,5.0,8.645,15,1,1,None,1,8,13,1
http://www.cian.ru/sale/flat/51889219/,1,5200000,39.0,19.0,8.5,16.058,10,0,0,0,1,4,17,0
http://www.cian.ru/sale/flat/147602298/,3,14300000,74.2,45.7,10.1,13.134,23,1,0,1,1,16,17,0
http://www.cian.ru/sale/flat/149383048/,1,8990000,44.0,21.0,12.0,10.315,5,0,1,0,1,2,17,0
http://www.cian.ru/sale/flat/150331676/,2,5100000,44.0,28.0,6.0,14.801,7,0,None,1,0,1,9,0
http://www.cian.ru/sale/flat/150563479/,2,7300000,38.0,23.0,8.0,7.609,7,1,0,1,1,8,9,0
http://www.cian.ru/sale/flat/148683439/,2,15900000,60.0,30.0,9.0,7.373,9,1,None,1,1,10,12,0
http://www.cian.ru/sale/flat/150454155/,2,6500000,45.1,30.0,7.0,11.854,20,1,0,1,1,6,12,0
http://www.cian.ru/sale/flat/141968172/,1,7800000,38.0,19.0,8.0,12.280,8,1,0,1,1,13,17,0
http://www.cian.ru/sale/flat/148995972/,1,3945639,36.1,None,None,24.073,15,1,0,None,0,2,23,1
http://www.cian.ru/sale/flat/150859901/,1,1599444,20.4,15.4,5.0,23.334,23,0,1,1,0,1,3,0
http://www.cian.ru/sale/flat/149478885/,1,5000000,40.0,20.0,9.0,15.599,15,1,0,1,1,2,7,0
http://www.cian.ru/sale/flat/150441133/,1,7300000,40.0,18.0,9.0,6.701,15,1,None,0,1,9,14,0
http://www.cian.ru/sale/flat/43807769/,1,6265377,39.9,18.0,9.8,9.644,10,0,1,None,1,4,25,1
http://www.cian.ru/sale/flat/149499452/,3,19707000,108.7,53.0,12.0,12.168,1,1,1,None,0,9,20,1
http://www.cian.ru/sale/flat/149472326/,4,79606764,170.0,95.2,18.0,2.814,5,1,1,0,0,3,11,0
http://www.cian.ru/sale/flat/149886464/,2,7000000,52.0,31.0,10.0,15.963,18,1,0,1,0,2,12,0
http://www.cian.ru/sale/flat/149582831/,1,12149427,38.6,None,None,2.994,8,1,None,None,0,2,7,1
http://www.cian.ru/sale/flat/149808503/,1,7200000,32.0,19.0,6.0,5.281,15,1,1,None,1,3,9,0
http://www.cian.ru/sale/flat/150967178/,1,5532052,38.3,None,None,14.388,7,0,1,None,0,5,7,1
http://www.cian.ru/sale/flat/150678616/,1,4500000,42.2,20.0,8.7,27.644,15,0,None,None,1,4,10,0
http://www.cian.ru/sale/flat/148971781/,1,6350000,35.4,15.1,8.5,15.467,None,None,1,None,1,1,24,1
http://www.cian.ru/sale/flat/150588091/,2,5300000,45.0,29.0,6.0,16.794,15,0,None,1,1,9,12,0
http://www.cian.ru/sale/flat/150458434/,1,8700000,36.0,20.0,8.0,5.534,7,1,1,1,1,6,14,0
http://www.cian.ru/sale/flat/149269903/,1,6990000,38.0,18.0,9.0,7.469,11,1,None,1,1,4,12,0
http://www.cian.ru/sale/flat/148794690/,2,9500000,57.0,40.0,9.0,14.713,10,0,0,1,1,12,16,0
