URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/148062841/,4,71738370,138.0,None,None,3.313,9,1.0,None,None,0,20,29.0,0
http://www.cian.ru/sale/flat/150642443/,2,23000000,83.0,44.0,16.0,1.682,5,1.0,None,None,0,4,4.0,0
http://www.cian.ru/sale/flat/151005796/,2,13950000,57.3,35.5,9.3,3.518,9,1.0,None,None,1,5,16.0,0
http://www.cian.ru/sale/flat/148585475/,1,6000000,33.0,20.0,6.0,11.160,12,1.0,0,None,0,6,9.0,0
http://www.cian.ru/sale/flat/151030490/,1,31206000,74.3,74.3,None,2.945,10,0.0,1,1,0,2,13.0,0
http://www.cian.ru/sale/flat/150487406/,2,11290000,46.0,35.0,6.0,6.100,10,1.0,0,0,1,6,10.0,0
http://www.cian.ru/sale/flat/151081752/,1,5650000,31.0,19.0,6.0,10.726,24,1.0,0,None,1,3,5.0,0
http://www.cian.ru/sale/flat/150847270/,2,8200000,45.0,32.0,6.0,12.342,11,1.0,1,1,1,5,5.0,0
http://www.cian.ru/sale/flat/150892260/,2,18900000,90.0,40.0,14.0,13.041,5,0.0,1,1,1,5,25.0,0
http://www.cian.ru/sale/flat/150843259/,1,3635190,25.4,14.0,None,14.683,4,0.0,1,None,1,14,17.0,1
http://www.cian.ru/sale/flat/150072331/,2,7100000,42.9,29.1,5.5,12.710,10,0.0,1,1,1,5,5.0,0
http://www.cian.ru/sale/flat/149580840/,2,10636528,63.2,30.7,12.5,17.010,5,1.0,1,None,1,2,19.0,1
http://www.cian.ru/sale/flat/149833794/,4,47741967,165.1,120.0,30.0,4.741,12,1.0,1,None,0,1,7.0,0
http://www.cian.ru/sale/flat/146471414/,2,9000000,42.0,25.5,6.0,7.044,7,1.0,0,1,1,2,9.0,0
http://www.cian.ru/sale/flat/151129210/,2,20000000,70.0,45.0,15.0,14.692,7,1.0,None,1,1,4,25.0,0
http://www.cian.ru/sale/flat/150967052/,2,7814480,54.8,17.1,8.6,14.388,7,0.0,1,None,0,3,7.0,1
http://www.cian.ru/sale/flat/150925791/,4,26500000,124.0,97.0,15.0,12.728,5,0.0,1,0,0,33,42.0,0
http://www.cian.ru/sale/flat/150967035/,1,6428040,41.1,16.2,9.9,14.388,7,0.0,1,None,0,1,7.0,1
http://www.cian.ru/sale/flat/149623146/,1,6200000,31.5,21.2,5.1,11.085,1,1.0,0,1,1,8,9.0,0
http://www.cian.ru/sale/flat/150716584/,3,32800000,103.0,85.0,15.0,8.452,7,1.0,1,0,0,12,32.0,0
http://www.cian.ru/sale/flat/150711580/,2,34900000,100.0,70.0,20.0,8.452,7,1.0,1,1,0,22,32.0,0
http://www.cian.ru/sale/flat/32593774/,1,5600000,38.0,19.0,9.0,21.029,15,1.0,0,1,1,11,17.0,0
http://www.cian.ru/sale/flat/149252485/,1,5700000,36.0,16.0,6.5,14.567,11,1.0,0,1,1,11,12.0,0
http://www.cian.ru/sale/flat/47189832/,6,270000000,374.0,204.0,10.0,10.894,12,1.0,1,None,1,2,2.0,0
http://www.cian.ru/sale/flat/15506560/,1,6500000,32.0,18.5,6.0,4.835,8,1.0,1,1,1,5,9.0,0
http://www.cian.ru/sale/flat/51564489/,1,5000000,34.0,22.0,6.0,11.881,None,None,None,1,1,7,9.0,0
http://www.cian.ru/sale/flat/41090435/,1,5100000,32.0,18.0,6.0,14.223,None,None,None,1,1,4,5.0,0
http://www.cian.ru/sale/flat/149098090/,1,5150000,33.0,19.0,6.0,17.325,15,1,0,1,0,7,9.0,0
http://www.cian.ru/sale/flat/149909325/,2,7200000,45.0,30.0,6.0,9.880,5,1,0,0,1,3,5.0,0
http://www.cian.ru/sale/flat/147634962/,4,35343378,169.5,107.0,None,9.779,15,1,1,None,0,29,56.0,1
http://www.cian.ru/sale/flat/147428635/,2,23800000,77.0,41.5,11.5,12.598,7,1,1,1,1,4,18.0,0
http://www.cian.ru/sale/flat/147976831/,2,16000000,56.0,32.0,9.0,6.356,10,1,0,1,0,3,8.0,0
http://www.cian.ru/sale/flat/150798910/,1,6800000,39.4,18.9,8.0,15.056,5,1,0,None,1,3,14.0,0
http://www.cian.ru/sale/flat/149455221/,2,6700000,44.0,30.0,6.0,18.467,5,1,1,0,1,2,5.0,0
http://www.cian.ru/sale/flat/141066815/,1,5390000,39.0,20.0,9.0,16.055,15,1,0,1,0,2,12.0,0
http://www.cian.ru/sale/flat/150843385/,2,6098190,49.7,25.7,8.6,14.683,4,0,1,None,1,2,17.0,1
http://www.cian.ru/sale/flat/150559420/,2,12500000,58.0,36.0,9.0,10.532,12,1,1,1,0,2,8.0,0
http://www.cian.ru/sale/flat/150986461/,1,4500000,32.6,20.0,5.5,14.554,18,1,0,0,1,2,5.0,0
http://www.cian.ru/sale/flat/39096527/,4,49500000,177.0,125.0,14.0,11.910,4,0,1,1,1,6,16.0,0
http://www.cian.ru/sale/flat/148949239/,2,8900000,48.0,31.0,8.0,8.726,20,1,None,1,0,1,12.0,0
http://www.cian.ru/sale/flat/149914195/,1,6500000,40.0,22.0,11.0,14.300,10,0,1,None,1,5,14.0,0
http://www.cian.ru/sale/flat/150380708/,2,11800000,61.8,32.6,10.0,11.003,15,1,0,0,1,17,23.0,0
http://www.cian.ru/sale/flat/151072588/,3,10490000,78.0,45.0,10.0,18.589,10,1,None,None,1,16,17.0,0
http://www.cian.ru/sale/flat/149463817/,3,25400000,73.0,49.0,12.0,1.621,5,1,1,0,0,2,7.0,0
http://www.cian.ru/sale/flat/147473663/,1,5200000,36.0,21.0,9.0,16.069,2,1,0,1,0,2,12.0,0
http://www.cian.ru/sale/flat/150464803/,1,5700000,36.0,15.0,10.5,15.467,29,1,None,1,1,4,10.0,0
http://www.cian.ru/sale/flat/150645343/,2,35869185,100.0,51.0,14.3,5.786,11,1,1,1,1,8,11.0,0
http://www.cian.ru/sale/flat/148912094/,2,6000000,45.0,29.0,6.0,12.748,15,1,0,1,1,4,5.0,0
http://www.cian.ru/sale/flat/150923839/,1,4500000,32.0,18.0,6.0,13.369,20,1,0,None,1,2,5.0,0
http://www.cian.ru/sale/flat/150862589/,2,6500000,44.0,27.0,6.0,15.616,8,1,0,1,0,6,9.0,0
http://www.cian.ru/sale/flat/150885034/,2,10950000,67.5,50.0,None,4.703,9,1,None,None,0,2,4.0,0
http://www.cian.ru/sale/flat/46443364/,2,14500000,50.5,32.2,7.2,3.344,5,1,1,1,1,2,10.0,0
http://www.cian.ru/sale/flat/149267939/,3,15500000,82.0,45.0,13.0,16.800,8,1,0,1,1,4,15.0,0
http://www.cian.ru/sale/flat/148006858/,1,4200000,32.7,18.6,7.0,18.871,20,1,0,1,0,1,9.0,0
http://www.cian.ru/sale/flat/150831763/,2,6100000,40.0,23.0,6.0,13.804,7,1,1,1,1,5,9.0,0
http://www.cian.ru/sale/flat/23867880/,4,20462976,115.2,75.0,14.0,16.193,10,0,1,None,1,4,20.0,1
http://www.cian.ru/sale/flat/149455327/,1,4600000,33.0,19.0,6.0,16.701,10,0,0,0,0,1,9.0,0
http://www.cian.ru/sale/flat/147641851/,1,5200000,35.0,19.6,9.6,18.457,None,None,None,1,1,13,14.0,0
http://www.cian.ru/sale/flat/140345426/,4,31734400,135.0,76.3,11.6,10.885,1,1,1,None,1,15,15.0,1
http://www.cian.ru/sale/flat/148981292/,1,4499000,39.2,18.8,9.0,19.015,None,None,0,None,1,1,12.0,0
http://www.cian.ru/sale/flat/147987915/,3,59000000,91.0,38.0,45.0,1.879,3,1,1,None,1,3,6.0,0
http://www.cian.ru/sale/flat/148142909/,4,143476740,200.0,85.0,20.0,3.481,None,None,None,None,0,22,22.0,0
http://www.cian.ru/sale/flat/150386958/,2,13386600,72.4,39.8,12.2,13.204,None,None,None,None,1,11,16.0,1
http://www.cian.ru/sale/flat/149825044/,1,6300000,36.0,19.2,8.3,15.049,10,1,0,0,1,14,16.0,0
http://www.cian.ru/sale/flat/148767970/,3,64599430,78.0,57.0,9.0,2.417,10,1,1,1,0,1,6.0,0
http://www.cian.ru/sale/flat/150933875/,3,7500000,56.0,45.0,7.0,12.736,1,1,0,1,1,5,5.0,0
http://www.cian.ru/sale/flat/149252532/,1,5690369,34.3,23.3,7.6,9.639,3,0,1,0,0,5,8.0,0
http://www.cian.ru/sale/flat/150628938/,2,8200000,55.0,30.0,9.0,14.846,10,0,0,0,0,5,12.0,0
http://www.cian.ru/sale/flat/151123420/,1,4000000,28.0,17.0,3.0,15.414,15,1,1,0,0,3,7.0,0
http://www.cian.ru/sale/flat/147773302/,1,4800000,30.0,18.0,7.0,10.827,10,1,0,0,1,5,5.0,0
http://www.cian.ru/sale/flat/149035838/,1,5500000,31.4,16.3,5.8,7.267,2,0,0,0,1,4,5.0,0
http://www.cian.ru/sale/flat/150880078/,1,5100000,33.0,19.0,6.0,16.342,25,1,0,1,0,3,9.0,0
http://www.cian.ru/sale/flat/150709729/,2,15000000,76.0,44.0,9.0,7.344,5,1,None,None,1,8,8.0,0
http://www.cian.ru/sale/flat/151096844/,1,5800000,34.9,21.0,5.7,16.279,19,1,0,None,1,8,9.0,0
http://www.cian.ru/sale/flat/151134718/,2,8100000,58.0,34.0,12.0,16.038,2,1,0,0,0,2,17.0,0
http://www.cian.ru/sale/flat/150652285/,1,5750000,32.0,18.0,7.0,11.517,21,1,None,1,1,4,5.0,0
http://www.cian.ru/sale/flat/148938267/,2,7383453,58.7,40.2,7.8,13.326,20,1,1,None,0,4,6.0,1
http://www.cian.ru/sale/flat/148592527/,3,15000000,76.0,45.0,10.0,11.780,5,0,0,None,1,15,16.0,0
http://www.cian.ru/sale/flat/149808161/,2,6800000,41.0,27.0,6.0,4.567,19,1,1,None,0,1,5.0,0
http://www.cian.ru/sale/flat/138420660/,1,5400000,36.0,19.0,8.2,15.761,26,1,0,1,1,14,16.0,0
http://www.cian.ru/sale/flat/149876635/,3,18900000,84.0,60.0,9.0,10.583,15,1,1,1,1,3,9.0,0
http://www.cian.ru/sale/flat/149480686/,2,8700000,32.6,20.0,8.0,7.374,10,1,1,1,0,2,5.0,0
http://www.cian.ru/sale/flat/149203428/,2,7500000,56.0,34.0,9.0,18.370,24,1,None,None,1,6,7.0,0
http://www.cian.ru/sale/flat/150477482/,4,22500000,100.0,63.0,10.0,15.033,1,1,0,1,1,4,22.0,0
http://www.cian.ru/sale/flat/150942775/,1,5500000,32.0,20.0,6.0,6.938,4,1,None,1,0,1,9.0,0
http://www.cian.ru/sale/flat/150286516/,1,5200000,32.0,25.0,7.0,13.378,20,1,0,None,1,5,9.0,0
http://www.cian.ru/sale/flat/150607187/,1,6450000,35.1,19.3,8.0,6.647,7,1,0,1,0,5,12.0,0
http://www.cian.ru/sale/flat/148260635/,1,6697962,32.9,16.0,6.0,6.276,10,1,1,None,0,2,46.0,1
http://www.cian.ru/sale/flat/150759600/,3,16435000,100.0,None,18.5,19.082,5,0,1,None,1,5,24.0,1
http://www.cian.ru/sale/flat/150197567/,3,12038670,59.1,None,None,13.645,14,1,1,None,0,6,22.0,1
http://www.cian.ru/sale/flat/150357547/,3,16300000,100.0,68.0,9.0,10.010,10,1,1,0,1,4,5.0,0
http://www.cian.ru/sale/flat/150457683/,1,4064358,35.0,22.0,None,20.646,None,None,1,None,1,8,19.0,1
http://www.cian.ru/sale/flat/149759102/,1,5100000,32.0,18.0,6.0,15.095,None,None,None,1,1,4,5.0,0
http://www.cian.ru/sale/flat/150355770/,3,18000000,78.0,44.0,10.0,15.513,2,0,1,1,1,5,22.0,0
http://www.cian.ru/sale/flat/150947320/,2,13800000,66.1,47.0,None,8.467,16,1,1,None,1,3,24.0,0
http://www.cian.ru/sale/flat/151090217/,1,4250000,37.0,19.0,10.0,18.682,10,0,0,None,1,14,16.0,0
http://www.cian.ru/sale/flat/147619830/,2,6950000,44.0,28.0,6.0,6.838,5,1,1,None,0,1,5.0,0
http://www.cian.ru/sale/flat/150453622/,2,28500000,70.0,34.0,10.0,4.753,10,1,1,1,0,9,11.0,0
http://www.cian.ru/sale/flat/151095514/,1,6700000,37.0,19.0,8.4,12.963,10,0,0,None,1,9,18.0,0
http://www.cian.ru/sale/flat/150869270/,1,5200000,31.7,16.7,7.0,13.310,7,1,0,None,1,9,9.0,0
http://www.cian.ru/sale/flat/151076448/,1,5250000,32.5,21.4,5.2,15.030,5,1,0,1,1,5,9.0,0
http://www.cian.ru/sale/flat/150197817/,2,7656000,52.8,25.6,6.8,12.643,7,0,1,None,0,16,19.0,1
http://www.cian.ru/sale/flat/151072705/,3,9250000,60.5,43.1,6.0,16.148,18,1,0,None,1,4,9.0,0
http://www.cian.ru/sale/flat/151094503/,2,8300000,38.0,23.0,7.0,10.514,10,1,0,None,0,2,9.0,0
http://www.cian.ru/sale/flat/149578993/,1,5674200,38.6,33.1,None,13.260,14,1,None,None,1,6,14.0,0
http://www.cian.ru/sale/flat/142965624/,1,6500000,39.0,20.0,9.0,9.516,20,1,0,1,1,2,5.0,0
http://www.cian.ru/sale/flat/150714874/,1,6250000,33.0,19.0,6.0,10.462,12,1,1,1,1,8,9.0,0
http://www.cian.ru/sale/flat/148771722/,1,5200000,33.0,18.0,7.0,15.611,14,1,0,None,1,5,12.0,0
